disciplina - curso - horario - campus
21         - 16    - 24m23   - 03 - 2024_2
01         - 17    - 24m45   - 03 - 2024_2
14         - 16    - 24m23   - 03 - 2024_2
13         - 17    - 24m45   - 03 - 2024_2
22         - 17    - 24m23   - 03 - 2024_2
29         - 16    - 24m45   - 03 - 2024_2
05         - 16    - 246t12  - 03 - 2024_2
05         - 28    - 246t34  - 03 - 2024_2
08         - 17    - 246t12  - 03 - 2024_2
08         - 19    - 246t34  - 03 - 2024_2
05         - 20    - 246m12  - 01 - 2024_2
05         - 15    - 246m34  - 01 - 2024_2
14         - 13    - 24m12   - 01 - 2024_2
14         - 20    - 24m34   - 01 - 2024_2
14         - 15    - 24m56   - 01 - 2024_2
08         - 13    - 246m12  - 01 - 2024_2
01         - 13    - 24m34   - 01 - 2024_2
11         - 20    - 24m12   - 01 - 2024_2
11         - 15    - 24m34   - 01 - 2024_2
13         - 15    - 35m12   - 01 - 2024_2
13         - 20    - 35m34   - 01 - 2024_2
25         - 15    - 35m56   - 01 - 2024_2
21         - 20    - 35m12   - 01 - 2024_2
02         - 32    - 6m123   - 01 - 2024_2
29         - 13    - 46m56   - 01 - 2024_2
08         - 20    - 246t12  - 01 - 2024_2
08         - 12    - 246t34  - 01 - 2024_2
11         - 13    - 24t56   - 01 - 2024_2
05         - 13    - 246t12  - 01 - 2024_2
05         - 12    - 246t34  - 01 - 2024_2
21         - 13    - 46t34   - 01 - 2024_2
01         - 15    - 46t56   - 01 - 2024_2
01         - 12    - 24t12   - 01 - 2024_2
08         - 15    - 246t34  - 01 - 2024_2
01         - 20    - 35t12   - 01 - 2024_2
13         - 13    - 35t12   - 01 - 2024_2
02         - 05    - 35t45   - 01 - 2024_2
02         - 25    - 46t23   - 01 - 2024_2
02         - 27    - 46t45   - 01 - 2024_2
04         - 31    - 4t12    - 01 - 2024_2
29         - 20    - 46t34   - 01 - 2024_2
04         - 31    - 6t12    - 01 - 2024_2
17         - 33    - 24n23   - 01 - 2024_2
29         - 15    - 24n45   - 01 - 2024_2
05         - 34    - 246m23  - 02 - 2024_2
05         - 30    - 246m45  - 02 - 2024_2
08         - 24    - 246m23  - 02 - 2024_2
08         - 06    - 246m45  - 02 - 2024_2
08         - 14    - 246m23  - 02 - 2024_2
01         - 34    - 46m45   - 02 - 2024_2
16         - 29    - 246m23  - 02 - 2024_2
30         - 10    - 46m45   - 02 - 2024_2
01         - 06    - 24m23   - 02 - 2024_2
01         - 06    - 24m45   - 02 - 2024_2
06         - 34    - 24m23   - 02 - 2024_2
13         - 06    - 24m45   - 02 - 2024_2
09         - 34    - 24m23   - 02 - 2024_2
14         - 06    - 24m45   - 02 - 2024_2
14         - 24    - 24m23   - 02 - 2024_2
13         - 06    - 24m45   - 02 - 2024_2
29         - 06    - 24m23   - 02 - 2024_2
07         - 09    - 35m23   - 02 - 2024_2
01         - 14    - 35m23   - 02 - 2024_2
15         - 34    - 35m23   - 02 - 2024_2
29         - 24    - 35m23   - 02 - 2024_2
24         - 29    - 35m23   - 02 - 2024_2
09         - 10    - 46m23   - 02 - 2024_2
07         - 25    - 46m45   - 02 - 2024_2
27         - 09    - 6m23    - 02 - 2024_2
29         - 23    - 24t12   - 02 - 2024_2
08         - 23    - 246t34  - 02 - 2024_2
08         - 21    - 246t56  - 02 - 2024_2
05         - 26    - 246t34  - 02 - 2024_2
08         - 26    - 246t56  - 02 - 2024_2
01         - 30    - 24t23   - 02 - 2024_2
09         - 22    - 24t23   - 02 - 2024_2
21         - 06    - 25t45   - 02 - 2024_2
09         - 02    - 46t23   - 02 - 2024_2
09         - 02    - 46t45   - 02 - 2024_2
06         - 02    - 25t23   - 02 - 2024_2
06         - 02    - 25t45   - 02 - 2024_2
01         - 16    - 35t12   - 02 - 2024_2
01         - 26    - 35t34   - 02 - 2024_2
01         - 28    - 35t12   - 02 - 2024_2
01         - 21    - 35t34   - 02 - 2024_2
13         - 23    - 35t12   - 02 - 2024_2
01         - 23    - 35t34   - 02 - 2024_2
13         - 14    - 36t23   - 02 - 2024_2
11         - 34    - 35t45   - 02 - 2024_2
05         - 26    - 246n23  - 02 - 2024_2
01         - 37    - 24n23   - 02 - 2024_2
01         - 18    - 24n45   - 02 - 2024_2
29         - 18    - 24n23   - 02 - 2024_2
29         - 37    - 24n45   - 02 - 2024_2
28         - 18    - 24n23   - 02 - 2024_2
09         - 01    - 35n23   - 02 - 2024_2
09         - 34    - 35n45   - 02 - 2024_2
07         - 09    - 35n23   - 02 - 2024_2
06         - 01    - 35n45   - 02 - 2024_2
11         - 26    - 35n23   - 02 - 2024_2
14         - 26    - 35n45   - 02 - 2024_2
09         - 10    - 46n23   - 02 - 2024_2
30         - 10    - 46n45   - 02 - 2024_2
18         - 01    - 46n23   - 02 - 2024_2
20         - 01    - 46n45   - 02 - 2024_2
27         - 09    - 6n23    - 02 - 2024_2
