disciplina - curso - horario - campus
05         - 16    - 246t12  - 03 - 2024_1
05         - 16    - 246t34  - 03 - 2024_1
05         - 16    - 246t12  - 03 - 2024_1
05         - 16    - 246t34  - 03 - 2024_1
21         - 19    - 24m23   - 03 - 2024_1
21         - 17    - 24m45   - 03 - 2024_1
11         - 16    - 24m45   - 03 - 2024_1
12         - 19    - 24t12   - 03 - 2024_1
29         - 19    - 24m23   - 03 - 2024_1
29         - 16    - 24m45   - 03 - 2024_1
05         - 20    - 246m12  - 01 - 2024_1
05         - 15    - 246m34  - 01 - 2024_1
08         - 13    - 246m12  - 01 - 2024_1
01         - 13    - 24m34   - 01 - 2024_1
14         - 15    - 24m56   - 01 - 2024_1
10         - 20    - 24m12   - 01 - 2024_1
11         - 15    - 24m34   - 01 - 2024_1
14         - 13    - 24m12   - 01 - 2024_1
14         - 20    - 24m34   - 01 - 2024_1
14         - 12    - 24m56   - 01 - 2024_1
29         - 15    - 46m12   - 01 - 2024_1
29         - 12    - 46m34   - 01 - 2024_1
29         - 13    - 46m56   - 01 - 2024_1
21         - 20    - 35m12   - 01 - 2024_1
13         - 20    - 35m34   - 01 - 2024_1
25         - 15    - 35m56   - 01 - 2024_1
02         - 32    - 6m123   - 01 - 2024_1
05         - 13    - 246t12  - 01 - 2024_1
05         - 12    - 246t34  - 01 - 2024_1
11         - 13    - 24t56   - 01 - 2024_1
08         - 20    - 246t12  - 01 - 2024_1
08         - 15    - 246t34  - 01 - 2024_1
01         - 20    - 35t12   - 01 - 2024_1
13         - 13    - 35t12   - 01 - 2024_1
21         - 13    - 46t34   - 01 - 2024_1
01         - 15    - 46t56   - 01 - 2024_1
29         - 20    - 46t34   - 01 - 2024_1
02         - 25    - 46t23   - 01 - 2024_1
03         - 31    - 4t12    - 01 - 2024_1
03         - 31    - 6t12    - 01 - 2024_1
16         - 33    - 35n34   - 01 - 2024_1
13         - 15    - 35n45   - 01 - 2024_1
05         - 14    - 246m23  - 02 - 2024_1
14         - 06    - 24m45   - 02 - 2024_1
05         - 34    - 246m23  - 02 - 2024_1
01         - 34    - 46m45   - 02 - 2024_1
08         - 34    - 246m23  - 02 - 2024_1
08         - 06    - 246m45  - 02 - 2024_1
19         - 29    - 246m23  - 02 - 2024_1
15         - 09    - 46m45   - 02 - 2024_1
05         - 24    - 246m23  - 02 - 2024_1
13         - 06    - 24m45   - 02 - 2024_1
01         - 10    - 24m23   - 02 - 2024_1
01         - 06    - 24m45   - 02 - 2024_1
13         - 24    - 24m23   - 02 - 2024_1
28         - 35    - 24m23   - 02 - 2024_1
23         - 36    - 24m45   - 02 - 2024_1
29         - 06    - 24m23   - 02 - 2024_1
29         - 30    - 24m45   - 02 - 2024_1
21         - 24    - 35m23   - 02 - 2024_1
21         - 06    - 35m45   - 02 - 2024_1
15         - 34    - 35m23   - 02 - 2024_1
21         - 16    - 35m23   - 02 - 2024_1
11         - 14    - 35m23   - 02 - 2024_1
13         - 16    - 35m45   - 02 - 2024_1
21         - 06    - 46m23   - 02 - 2024_1
21         - 14    - 46m45   - 02 - 2024_1
06         - 10    - 46m23   - 02 - 2024_1
06         - 22    - 46m45   - 02 - 2024_1
06         - 34    - 46m23   - 02 - 2024_1
07         - 25    - 46m45   - 02 - 2024_1
09         - 34    - 46m23   - 02 - 2024_1
15         - 11    - 46m45   - 02 - 2024_1
05         - 23    - 246t34  - 02 - 2024_1
05         - 26    - 246t56  - 02 - 2024_1
05         - 26    - 246t56  - 02 - 2024_1
07         - 38    - 24t23   - 02 - 2024_1
07         - 08    - 24t45   - 02 - 2024_1
29         - 26    - 24t12   - 02 - 2024_1
14         - 26    - 24t34   - 02 - 2024_1
14         - 23    - 24t56   - 02 - 2024_1
11         - 23    - 24t34   - 02 - 2024_1
11         - 26    - 24t56   - 02 - 2024_1
06         - 02    - 25t23   - 02 - 2024_1
06         - 02    - 25t45   - 02 - 2024_1
21         - 23    - 35t12   - 02 - 2024_1
21         - 26    - 35t34   - 02 - 2024_1
29         - 17    - 35t12   - 02 - 2024_1
13         - 26    - 35t34   - 02 - 2024_1
11         - 24    - 35t23   - 02 - 2024_1
07         - 03    - 35t23   - 02 - 2024_1
07         - 04    - 35t45   - 02 - 2024_1
14         - 14    - 35t23   - 02 - 2024_1
07         - 07    - 46t23   - 02 - 2024_1
07         - 05    - 46t45   - 02 - 2024_1
09         - 02    - 46t23   - 02 - 2024_1
09         - 02    - 46t45   - 02 - 2024_1
05         - 18    - 246n23  - 02 - 2024_1
05         - 37    - 246n45  - 02 - 2024_1
08         - 26    - 246n23  - 02 - 2024_1
01         - 10    - 24n45   - 02 - 2024_1
09         - 01    - 35n23   - 02 - 2024_1
06         - 34    - 35n45   - 02 - 2024_1
21         - 26    - 35n45   - 02 - 2024_1
06         - 10    - 35n23   - 02 - 2024_1
06         - 01    - 35n45   - 02 - 2024_1
18         - 01    - 46n23   - 02 - 2024_1
15         - 09    - 46n45   - 02 - 2024_1
20         - 01    - 46n45   - 02 - 2024_1
